experiment	word	type	human_accuracy	plotname	
exp1	k'ap'u	cooccurrence	45	EE	
exp1	k'ip'a	cooccurrence	38	EE
exp1	k'ip'i	cooccurrence	35	EE
exp1	k'it'a	cooccurrence	62	EE
exp1	k'up'i	cooccurrence	55	EE
exp1	k'ut'a	cooccurrence	57	EE
exp1	kap'a	ordering	38	PE
exp1	kap'i	ordering	38	PE
exp1	kip'a	ordering	10	PE
exp1	kip'u	ordering	10	PE
exp1	kup'a	ordering	14	PE
exp1	kut'a	ordering	62	PE
exp1	lap'a	control	100	CT
exp1	lik'a	control	100	CT
exp1	lip'u	control	100	CT
exp1	luk'a	control	100	CT
exp1	maq'o	control	100	CT
exp1	moq'o	control	100	CT
exp1	nap'u	control	90	CT
exp1	nat'u	control	100	CT
exp1	nut'a	control	95	CT
exp1	p'ik'a	cooccurrence	71	EE
exp1	p'it'a	cooccurrence	67	EE
exp1	p'uk'a	cooccurrence	71	EE
exp1	pit'a	ordering	52	PE
exp1	puk'i	ordering	30	PE
exp1	q'ap'i	cooccurrence	29	EE
exp1	q'at'a	cooccurrence	38	EE
exp1	q'op'i	cooccurrence	15	EE
exp1	qat'i	ordering	24	PE
exp1	saq'o	control	100	CT
exp1	seq'a	control	95	CT
exp1	t'ap'u	cooccurrence	55	EE
exp1	t'aq'o	cooccurrence	50	EE
exp1	t'oq'e	cooccurrence	57	EE
exp1	taq'e	ordering	32	PE
exp1	tip'a	ordering	29	PE
exp1	tip'i	ordering	35	PE
exp1	tip'u	ordering	24	PE
exp1	toq'e	ordering	42	PE
exp1	tuk'i	ordering	37	PE
exp1	yap'i	control	90	CT
exp1	yuk'a	control	95	CT
exp1	yuk'u	control	95	CT
exp1	yup'a	control	95	CT
exp2	ch'amp'a–a	cooc-lab	31	EL
exp2	ch'ant'a–a	cooc-dent	88	ED
exp2	ch'illp'a–a	cooc-lab	29	EL
exp2	ch'illt'a–a	cooc-dent	76	ED
exp2	ch'imp'a–a	cooc-lab	35	EL
exp2	ch'int'a–a	cooc-dent	53	ED
exp2	ch'ullp'a–a	cooc-lab	44	EL
exp2	ch'ullt'a–a	cooc-dent	82	ED
exp2	challpa–a	control	100	FL
exp2	challta–a	control	88	FL
exp2	champ'a–a	order-lab	38	PL
exp2	champa–a	control	94	FL
exp2	chant'a–a	order-dent	88	PD
exp2	chillp'a–a	order-lab	24	PL
exp2	chillt'a–a	order-dent	82	PD
exp2	chillta–a	control	75	FL
exp2	chimp'a–a	order-lab	35	PL
exp2	chimpa–a	control	100	FL
exp2	chint'a–a	order-dent	88	PD
exp2	chispa–a	control	94	FL
exp2	chullp'a–a	order-lab	29	PL
exp2	chullt'a–a	order-dent	82	PD
exp2	chullta–a	control	94	FL
exp2	chunta–a	control	100	FL
exp2	k'allp'a–a	cooc-lab	31	EL
exp2	k'allt'a–a	cooc-dent	59	ED
exp2	k'asp'a–a	cooc-lab	53	EL
exp2	k'ast'a–a	cooc-dent	69	ED
exp2	k'isp'a–a	cooc-lab	35	EL
exp2	k'ist'a–a	cooc-dent	59	ED
exp2	k'ullp'a–a	cooc-lab	56	EL
exp2	k'ullt'a–a	cooc-dent	47	ED
exp2	kallp'a–a	order-lab	29	PL
exp2	kallpa–a	control	100	FL
exp2	kallt'a–a	order-dent	82	PD
exp2	kallta–a	control	100	FL
exp2	kasp'a–a	order-lab	29	PL
exp2	kaspa–a	control	100	FL
exp2	kast'a–a	order-dent	82	PD
exp2	kisp'a–a	order-lab	24	PL
exp2	kispa–a	control	100	FL
exp2	kist'a–a	order-dent	71	PD
exp2	kista–a	control	94	FL
exp2	kullp'a–a	order-lab	19	PL
exp2	kullpa–a	control	100	FL
exp2	kullt'a–a	order-dent	69	PD
exp2	kullta–a	control	82	FL
exp2	kusta–a	control	82	FL
exp2	llimpa–a	control	100	FL
exp2	llinta–a	control	75	FL
exp2	llispa–a	control	88	FL
exp2	llista–a	control	94	FL
exp2	llullpa–a	control	94	FL
exp2	llullta–a	control	88	FL
exp2	mallpa–a	control	100	FL
exp2	mallta–a	control	94	FL
exp2	maspa–a	control	100	FL
exp2	masta–a	control	100	FL
exp2	mispa–a	control	100	FL
exp2	mista–a	control	18	FL
exp2	mullpa–a	control	100	FL
exp2	mullta–a	control	47	FL
exp2	q'asp'a–a	cooc-lab	41	EL
exp2	q'ast'a–a	cooc-dent	82	ED
exp2	q'ollp'a–a	cooc-lab	35	EL
exp2	q'ollt'a–a	cooc-dent	50	ED
exp2	qasp'a–a	order-lab	38	PL
exp2	qaspa–a	control	100	FL
exp2	qast'a–a	order-dent	76	PD
exp2	qasta–a	control	100	FL
exp2	qellpa–a	control	100	FL
exp2	qollp'a–a	order-lab	53	PL
exp2	qollt'a–a	order-dent	94	PD
exp2	qollta–a	control	94	FL
exp2	sampa–a	control	100	FL
exp2	santa–a	control	100	FL
exp2	sillpa–a	control	94	FL
exp2	sillta–a	control	88	FL
exp2	sullpa–a	control	100	FL
exp2	sullta–a	control	100	FL
