	syllabic	sonorant	continuant	cg	sg	nasal	lateral	alvstop	alvstrid	palstrid	strident	labial	dorsal	glottal	high	low	front	tone	long
b	-	-	-	-	-	0	0	0	0	0	0	+	0	0	0	0	0	0	0
d	-	-	-	-	-	0	0	+	0	0	0	0	0	0	0	0	0	0	0
dz	-	-	-	-	-	0	0	0	+	0	+	0	0	0	0	0	0	0	0
dl	-	-	-	-	-	0	+	0	0	0	0	0	0	0	0	0	0	0	0
j	-	-	-	-	-	0	0	0	0	+	+	0	0	0	0	0	0	0	0
g	-	-	-	-	-	0	0	0	0	0	0	0	+	0	0	0	0	0	0
t	-	-	-	-	+	0	0	+	0	0	0	0	0	0	0	0	0	0	0
ts	-	-	-	-	+	0	0	0	+	0	+	0	0	0	0	0	0	0	0
tL	-	-	-	-	+	0	+	0	0	0	0	0	0	0	0	0	0	0	0
ch	-	-	-	-	+	0	0	0	0	+	+	0	0	0	0	0	0	0	0
k	-	-	-	-	+	0	0	0	0	0	0	0	+	0	0	0	0	0	0
t'	-	-	-	+	-	0	0	+	0	0	0	0	0	0	0	0	0	0	0
ts'	-	-	-	+	-	0	0	0	+	0	+	0	0	0	0	0	0	0	0
tL'	-	-	-	+	-	0	+	0	0	0	0	0	0	0	0	0	0	0	0
ch'	-	-	-	+	-	0	0	0	0	+	+	0	0	0	0	0	0	0	0
k'	-	-	-	+	-	0	0	0	0	0	0	0	+	0	0	0	0	0	0
s	-	-	+	-	+	0	0	0	+	0	+	0	0	0	0	0	0	0	0
z	-	-	+	-	-	0	0	0	+	+	+	0	0	0	0	0	0	0	0
sh	-	-	+	-	+	0	0	0	0	+	+	0	0	0	0	0	0	0	0
zh	-	-	+	-	-	0	0	0	0	+	+	0	0	0	0	0	0	0	0
x	-	-	+	-	+	0	0	0	0	0	0	0	+	0	0	0	0	0	0
gh	-	-	+	-	-	0	0	0	0	0	0	0	+	0	0	0	0	0	0
l	-	-	+	-	-	0	+	0	0	0	0	0	0	0	0	0	0	0	0
L	-	-	+	-	+	0	+	0	0	0	0	0	0	0	0	0	0	0	0
m	-	+	-	0	0	+	0	0	0	0	0	+	0	0	0	0	0	0	0
n	-	+	-	0	0	+	0	+	0	0	0	0	0	0	0	0	0	0	0
w	-	+	+	0	0	0	0	0	0	0	0	0	0	0	+	0	-	0	0
y	-	+	+	0	0	0	0	0	0	0	0	0	0	0	+	0	+	0	0
h	-	-	+	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0
X	-	-	-	+	-	0	0	0	0	0	0	0	0	+	0	0	0	0	0
i	+	+	+	0	0	-	0	0	0	0	0	0	0	0	+	-	+	-	-
e	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	-	+	-	-
a	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	+	-	-	-
o	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	-	-	-	-
I	+	+	+	0	0	-	0	0	0	0	0	0	0	0	+	-	+	+	-
E	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	-	+	+	-
A	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	+	-	+	-
O	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	-	-	+	-
ii	+	+	+	0	0	-	0	0	0	0	0	0	0	0	+	-	+	-	+
ee	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	-	+	-	+
aa	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	+	-	-	+
oo	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	-	-	-	+
II	+	+	+	0	0	-	0	0	0	0	0	0	0	0	+	-	+	+	+
EE	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	-	+	+	+
AA	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	+	-	+	+
OO	+	+	+	0	0	-	0	0	0	0	0	0	0	0	-	-	-	+	+
iN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	+	-	+	-	-
eN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	-	+	-	-
aN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	+	-	-	-
oN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	-	-	-	-
IN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	+	-	+	+	-
EN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	-	+	+	-
AN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	+	-	+	-
ON	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	-	-	+	-
iiN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	+	-	+	-	+
eeN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	-	+	-	+
aaN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	+	-	-	+
ooN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	-	-	-	+
IIN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	+	-	+	+	+
EEN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	-	+	+	+
AAN	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	+	-	+	+
OON	+	+	+	0	0	+	0	0	0	0	0	0	0	0	-	-	-	+	+
