projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[]	2.175	12,903	12,903	34,440.037	34,440.037	null	(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)
+cg	[-wb][-wb]	12.464	0	0	34,118.066	34,118.068	null	(b|d|z|g|G)(p|t|c|k|q|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)*(b|d|z|g|G)
default	[-sonorant,+continuant,+palatal]	14.211	0	0	33,824.531	33,824.535	null	(S)
default	[-continuant][+wb]	14.995	0	0	32,156.644	32,156.651	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)(<#|#>)
default	[-continuant,+sg][-syllabic]	12.579	0	0	31,219.132	31,219.14	null	(P|T|C|K|Q)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+cg][-syllabic]	12.04	0	0	30,510.208	30,510.218	null	(b|d|z|g|G)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+syllabic][+syllabic]	14.896	0	0	30,103.318	30,103.33	null	(i|u|a|e|o)(i|u|a|e|o)
default	[-syllabic,+sonorant][+wb]	13.306	0	0	29,792.548	29,792.562	null	(m|n|N|r|l|L)(<#|#>)
default	[-syllabic][-syllabic,-back]	12.139	0	0	29,510.3	29,510.317	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(y)
default	[+palatal][-syllabic,+continuant]	11.209	0	0	29,294.511	29,294.529	null	(c|z|C|S|N|L)(s|S|x|h|l|L)
default	[+copy][+wb]	13.238	0	0	29,100.868	29,100.889	null	(X)(<#|#>)
default	[+dental][+wb]	13.289	0	0	28,914.746	28,914.768	null	(t|d|T|s|n|r|l)(<#|#>)
default	[+sg][+wb]	12.982	0	0	28,709.336	28,709.359	null	(P|T|C|K|Q|h)(<#|#>)
default	[-sonorant,-continuant][+uvular]	11.775	0	0	28,540.387	28,540.413	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(q|G|Q|x)
default	[-sonorant,-continuant][+palatal]	10.833	0	0	28,386.536	28,386.562	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(c|z|C|S|N|L)
default	[-continuant,+uvular][+high]	13.491	0	0	28,267.612	28,267.64	null	(q|G|Q)(y|w|i|u)
default	[+labial][-syllabic,+sonorant]	11.298	0	0	28,151.132	28,151.163	null	(p|b|P|m)(m|n|N|r|l|L)
default	[+wb][+continuant,+uvular]	12.563	0	0	28,045.269	28,045.301	null	(<#|#>)(x)
