projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[]	2.142	12,903	12,903	34,440.037	34,440.037	null	(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)
-sonorant-continuant	[+plain][+sg]	12.878	0	0	34,397.081	34,397.083	null	(p|t|c|k|q)(s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)*(P|T|C|K|Q)
default	[-sonorant,+continuant,+palatal]	14.244	0	0	33,879.669	33,879.673	null	(S)
-sonorant-continuant	[+plain][+cg]	12.915	0	0	36,027.452	36,027.462	null	(p|t|c|k|q)(s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)*(b|d|z|g|G)
-sonorant-continuant	[+cg][+cg]	12.514	0	0	33,275.757	33,275.765	null	(b|d|z|g|G)(s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)*(b|d|z|g|G)
default	[-continuant][+wb]	14.942	0	0	31,781.854	31,781.864	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)(<#|#>)
-sonorant-continuant	[+velar][+uvular]	10.643	0	0	31,980.488	31,980.5	null	(k|g|K)(s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)*(q|G|Q)
default	[-continuant,+sg][-syllabic]	12.444	0	0	30,885.577	30,885.59	null	(P|T|C|K|Q)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+cg][-syllabic]	12.126	0	0	30,292.247	30,292.261	null	(b|d|z|g|G)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+syllabic][+syllabic]	14.933	0	0	29,868.772	29,868.789	null	(i|u|a|e|o)(i|u|a|e|o)
default	[+dental][+wb]	13.288	0	0	29,537.847	29,537.866	null	(t|d|T|s|n|r|l)(<#|#>)
default	[-syllabic][-syllabic,-back]	12.03	0	0	29,228.121	29,228.142	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(y)
default	[-continuant][+sonorant,+palatal]	1.988	0	0	28,964.859	28,964.882	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)(N|L)
default	[+copy][+wb]	13.234	0	0	28,753.751	28,753.776	null	(X)(<#|#>)
default	[+sg][+wb]	12.981	0	0	28,517.41	28,517.437	null	(P|T|C|K|Q|h)(<#|#>)
default	[-sonorant][+continuant,+uvular]	11.067	0	0	28,338.415	28,338.443	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h)(x)
default	[-syllabic,+sonorant][+wb]	13.307	0	0	28,174.544	28,174.574	null	(m|n|N|r|l|L)(<#|#>)
default	[+palatal][-syllabic,+continuant]	12.235	0	0	28,044.058	28,044.09	null	(c|z|C|S|N|L)(s|S|x|h|l|L)
default	[-sonorant,-continuant][-syllabic,-low]	10.811	0	0	27,918.628	27,918.662	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(y|w)
default	[-continuant,+uvular][+high]	13.431	0	0	27,814.669	27,814.704	null	(q|G|Q)(y|w|i|u)
default	[+wb][+continuant,+uvular]	12.577	0	0	27,709.485	27,709.522	null	(<#|#>)(x)
default	[+wb][+copy]	12.457	0	0	27,606.579	27,606.618	null	(<#|#>)(X)
default	[-sonorant,-continuant][-nasal]	9.645	0	0	27,496.837	27,496.877	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(r|l|L)
default	[+high][+continuant,+uvular]	13.218	0	0	27,398.732	27,398.774	null	(y|w|i|u)(x)
default	[+labial][-syllabic,+sonorant]	11.628	0	0	27,365.175	27,365.218	null	(p|b|P|m)(m|n|N|r|l|L)
default	[+nasal][-syllabic,-low]	11.46	0	0	27,229.823	27,229.868	null	(m|n|N)(y|w)
default	[+velar][+back,-high]	11.697	0	0	27,166.492	27,166.539	null	(k|g|K)(o)
default	[+nasal][+continuant,+uvular]	11.121	0	0	27,103.536	27,103.584	null	(m|n|N)(x)
default	[+copy][-syllabic,+sonorant]	11.029	0	0	27,040.994	27,041.043	null	(X)(m|n|N|r|l|L)
default	[-syllabic,+sonorant,+continuant][+sonorant,+dental]	11.661	0	0	26,980.788	26,980.84	null	(l|L)(n|r|l)
default	[+velar][-continuant]	10.919	0	0	26,921.054	26,921.107	null	(k|g|K)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)
default	[-continuant,+palatal][-syllabic,+sonorant]	10.439	0	0	26,864.512	26,864.566	null	(c|z|C|N)(m|n|N|r|l|L)
default	[+copy][+uvular]	10.58	0	0	26,824.067	26,824.122	null	(X)(q|G|Q|x)
default	[-low,-high][+continuant,+sg]	12.416	0	0	26,782.723	26,782.78	null	(e|o)(h)
default	[-sonorant][+sonorant,+continuant,+dental]	11.067	0	0	26,745.157	26,745.215	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h)(l)
default	[-sonorant,-continuant][+palatal]	10.652	0	0	26,709.354	26,709.413	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(c|z|C|S|N|L)
default	[+sg][+sg]	11.329	0	0	26,673.325	26,673.386	null	(P|T|C|K|Q|h)(P|T|C|K|Q|h)
default	[+copy][-syllabic,-low]	10.138	0	0	26,640.707	26,640.769	null	(X)(y|w)
default	[-sonorant,-continuant][+uvular]	10.546	0	0	26,608.586	26,608.649	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(q|G|Q|x)
default	[+dental,+nasal][+labial]	10.837	0	0	26,579.435	26,579.5	null	(n)(p|b|P|m)
default	[-syllabic,+sonorant][+sonorant,+palatal]	10.975	0	0	26,551.281	26,551.346	null	(m|n|N|r|l|L)(N|L)
default	[+plain,+velar][-low,-high]	11.501	0	0	26,521.147	26,521.213	null	(k)(e|o)
default	[-syllabic,+back][-syllabic,-low]	10.581	0	0	26,494.128	26,494.195	null	(w)(y|w)
default	[-continuant,+palatal][+labial]	10.045	0	0	26,469.213	26,469.282	null	(c|z|C|N)(p|b|P|m)
default	[-sonorant,-continuant,+dental][-syllabic,+sonorant]	10.042	0	0	26,444.158	26,444.228	null	(t|d|T)(m|n|N|r|l|L)
default	[-continuant,+uvular][-syllabic,+continuant]	10.159	0	0	26,418.549	26,418.62	null	(q|G|Q)(s|S|x|h|l|L)
default	[-syllabic,-low][+sonorant,+continuant,+dental]	11.123	0	0	26,392.983	26,393.055	null	(y|w)(l)
