projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[]	2.191	12,903	12,903	34,440.037	34,440.037	null	(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)
default	[-sonorant,+continuant,+palatal]	14.208	0	0	34,165.093	34,165.095	null	(S)
default	[-continuant][+wb]	15.062	0	0	32,377.933	32,377.937	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)(<#|#>)
default	[+cg][-syllabic]	11.968	0	0	31,489.913	31,489.92	null	(b|d|z|g|G)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[-continuant,+sg][-syllabic]	12.153	0	0	30,524.215	30,524.224	null	(P|T|C|K|Q)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+syllabic][+syllabic]	15.066	0	0	30,117.81	30,117.821	null	(i|u|a|e|o)(i|u|a|e|o)
default	[+dental][+wb]	13.304	0	0	29,808.621	29,808.635	null	(t|d|T|s|n|r|l)(<#|#>)
default	[-syllabic][-syllabic,-back]	11.873	0	0	29,529.129	29,529.144	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(y)
default	[-continuant][+sonorant,+palatal]	2.015	0	0	29,285.272	29,285.289	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)(N|L)
default	[+copy][+wb]	13.253	0	0	29,093.225	29,093.244	null	(X)(<#|#>)
default	[+sg][+wb]	12.975	0	0	28,880.577	28,880.598	null	(P|T|C|K|Q|h)(<#|#>)
default	[-sonorant,-continuant][+uvular]	11.333	0	0	28,698.417	28,698.44	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(q|G|Q|x)
default	[-syllabic,+sonorant][+wb]	13.321	0	0	28,549.415	28,549.439	null	(m|n|N|r|l|L)(<#|#>)
default	[+palatal][-syllabic,+continuant]	11.267	0	0	28,428.359	28,428.384	null	(c|z|C|S|N|L)(s|S|x|h|l|L)
default	[-continuant,+uvular][+high]	13.595	0	0	28,308.923	28,308.951	null	(q|G|Q)(y|w|i|u)
default	[+velar][-continuant]	10.934	0	0	28,204.381	28,204.41	null	(k|g|K)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)
default	[+wb][+continuant,+uvular]	12.529	0	0	28,099.474	28,099.504	null	(<#|#>)(x)
default	[+wb][+copy]	12.405	0	0	28,003.206	28,003.239	null	(<#|#>)(X)
default	[-sonorant,-continuant][-syllabic,-low]	10.912	0	0	27,903.607	27,903.641	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(y|w)
default	[-sonorant,-continuant][-nasal]	10.435	0	0	27,803.302	27,803.337	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(r|l|L)
default	[+high][+continuant,+uvular]	13.332	0	0	27,710.506	27,710.543	null	(y|w|i|u)(x)
