x	hx	logProbx	[]	[-sonorant,-ant]	[+sg]	[-nas,+lab]	[-sonorant,+ant]	[-cons,+cor]	[+sonorant,-cont]	[+cons,+dor]	[-high,-low]	[-sg,-ant]	[+cont,+voice,+cor]	[-voice,+ant,-secart]	[-syll,-nas][+cons]	[-syll][+wb]	[-low][+wb]	[+syll][+back]	[+wb][+syll]	[+syll,-low][+syll,-back]	[-syll,+sonorant][+cons,+sonorant]	[-syll][-voice]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-wb][+delrel,+lab]	[+wb][-syll,+sonorant]	[+cons,+lab][+low]	[+wb][+voice,-sg]	[+sonorant,-sg,+ant][+low]	[+high][][-high,-low]	[-high,-low][][+high]	[+low][][-high,-low]	[+wb][-nas,+dor][-back]	[-cont,+cor][-nas,+dor]	[-high,-back][][-high,-low,+back]	[-syll][+delrel,-sg]	[-delrel,+cor][][+wb]	[-ant][][+wb]	[-nas,+lab][][+wb]	[+delrel,+voice,+cor][][-sonorant]	violated_constraints
f a dz o ts a	-8.813	-17.789	8	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	[], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-voice,+ant,-secart], [+cons,+lab][+low], [+low][][-high,-low], [+delrel,+voice,+cor][][-sonorant], 
v a v u t a	-4.128	-13.105	8	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+cons,+lab][+low], [+wb][+voice,-sg], [-delrel,+cor][][+wb], 
zv a dz a dzv a	-8.798	-17.774	8	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	[], [-sonorant,-ant], [-sonorant,+ant], [+cont,+voice,+cor], [-ant][][+wb], [+delrel,+voice,+cor][][-sonorant], 
sh e zv i dzv a	-10.954	-19.931	8	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-high,-low], [+cont,+voice,+cor], [-high,-low][][+high], [-ant][][+wb], 
dzv e vh i pf a	-12.824	-21.801	8	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-high,-low], [-wb][+delrel,+lab], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
bv a ny e s a	-8.77	-17.746	8	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [-voice,+ant,-secart], [+cons,+lab][+low], [+wb][+voice,-sg], [+low][][-high,-low], 
ny u w o t a	-13.111	-22.087	8	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+syll][+back], [+wb][-syll,+sonorant], [+high][][-high,-low], [-delrel,+cor][][+wb], 
sv i bh o zv a	-15.785	-24.762	8	2	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-high,-low], [+cont,+voice,+cor], [+high][][-high,-low], [-ant][][+wb], 
nh u vh i dh a	-10.773	-19.75	8	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [+wb][-syll,+sonorant], [-delrel,+cor][][+wb], 
tsv a d a p a	-6.116	-15.093	8	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [-nas,+lab][][+wb], 
n i b i zh a	-8.365	-17.341	8	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [+sonorant,-cont], [+cont,+voice,+cor], [-nas][-delrel,+voice,-sg], [+wb][-syll,+sonorant], [-ant][][+wb], 
g a k o w a	-10.839	-19.816	8	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	[], [-nas,+lab], [+cons,+dor], [-high,-low], [+syll][+back], [+wb][+voice,-sg], [+low][][-high,-low], [-nas,+lab][][+wb], 
ny u zv o t a	-12.717	-21.694	8	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+cont,+voice,+cor], [+wb][-syll,+sonorant], [+high][][-high,-low], [-delrel,+cor][][+wb], 
v a p e t a	-8.395	-17.372	8	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [-high,-low], [+cons,+lab][+low], [+wb][+voice,-sg], [+low][][-high,-low], [-delrel,+cor][][+wb], 
