x	hx	logProbx	[]	[+wb][+wb]	[+wb][+wb]	[-ant][]	[+sg]	[+high][-high]	[+wb][+back][+wb]	[-low][+wb]	[-wb][+lab]	[-syll,-cons]	[+ant,-secart][-wb]	[+sonorant,-cont]	[+wb][-back][+wb]	[+voice][-voice,+cor]	[+delrel,+lab]	[+wb][-back][+back]	[+cont,+voice][]	[+wb][+high,+back][+wb]	[-cont,+secart][]	[-syll,-nas][+cons]	[-high][+high,-back]	[+low][-low]	[-syll][+wb]	[+syll,+high][]	[-back][+back]	[-low][+low][+back]	[+wb][][+wb]	[+syll][+syll]	[-low][+wb]	[+wb][+syll,+back][-back]	[+wb][+syll]	[-syll][-voice]	[-syll,+sonorant][+cons,+sonorant]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-voice][-voice,+ant,-secart]	[-wb][-voice,+lab]	[+syll][+low]	[+sonorant,-ant][-syll,-nas]	[+lab][+cor]	[-nas][-ant]	[+dor][+cor]	[-cont,-sg,+lab][-high]	[+wb][-syll,+sonorant]	[+sonorant,-sg,+ant][+low]	[+syll,-low][-cons]	[+lab][][+wb]	[-low][-delrel,+cor][+low]	violated_constraints
f a dz o ts a	-7.337	-16.279	8	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+wb][+back][+wb], [+ant,-secart][-wb], [+voice][-voice,+cor], [+low][-low], 
v a v u t a	-6.1	-15.043	8	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[], [-wb][+lab], [+voice][-voice,+cor], [+cont,+voice][], [+wb][+high,+back][+wb], [+syll,+high][], [-low][-delrel,+cor][+low], 
zv a dz a dzv a	-7.93	-16.872	8	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [+wb][+wb], [-ant][], [+ant,-secart][-wb], [+cont,+voice][], [-cont,+secart][], [-nas][-ant], 
sh e zv i dzv a	-10.527	-19.469	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	[], [-ant][], [+cont,+voice][], [-cont,+secart][], [-high][+high,-back], [+syll,+high][], [-nas][-ant], 
dzv e vh i pf a	-12.676	-21.618	8	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	[], [-ant][], [+sg], [-wb][+lab], [+delrel,+lab], [+cont,+voice][], [-cont,+secart][], [-high][+high,-back], [+syll,+high][], [-wb][-voice,+lab], [+lab][][+wb], 
bv a ny e s a	-8.426	-17.369	8	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	[], [+sonorant,-cont], [+wb][-back][+wb], [+voice][-voice,+cor], [+delrel,+lab], [+low][-low], [-nas][-ant], [-cont,-sg,+lab][-high], 
ny u w o t a	-8.739	-17.682	8	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	[], [+high][-high], [+wb][+back][+wb], [-syll,-cons], [+sonorant,-cont], [+syll,+high][], [+wb][][+wb], [+wb][-syll,+sonorant], [+syll,-low][-cons], [-low][-delrel,+cor][+low], 
sv i bh o zv a	-11.682	-20.624	8	0	0	2	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sg], [+high][-high], [+wb][+back][+wb], [-wb][+lab], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [-nas][-ant], 
nh u vh i dh a	-12.17	-21.112	8	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	[], [+sg], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [+wb][+syll,+back][-back], [+wb][-syll,+sonorant], [-low][-delrel,+cor][+low], 
tsv a d a p a	-7.64	-16.582	8	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	[], [+wb][+wb], [-ant][], [-wb][+lab], [-cont,+secart][], [-nas][-delrel,+voice,-sg], [-wb][-voice,+lab], [+lab][][+wb], 
n i b i zh a	-6.074	-15.017	8	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	[], [-ant][], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-nas][-ant], [+wb][-syll,+sonorant], 
g a k o w a	-9.514	-18.456	8	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	[], [+wb][+back][+wb], [-syll,-cons], [+low][-low], [+syll,-low][-cons], [+lab][][+wb], 
ny u zv o t a	-10.578	-19.52	8	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	[], [-ant][], [+high][-high], [+wb][+back][+wb], [+sonorant,-cont], [+voice][-voice,+cor], [+cont,+voice][], [+syll,+high][], [-nas][-ant], [+wb][-syll,+sonorant], [-low][-delrel,+cor][+low], 
v a p e t a	-8.346	-17.288	8	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	[], [-wb][+lab], [+wb][-back][+wb], [+cont,+voice][], [+low][-low], [-wb][-voice,+lab], [-low][-delrel,+cor][+low], 
ny a pf u tsv a	-8.254	-17.196	8	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	[], [-ant][], [+sonorant,-cont], [+delrel,+lab], [+wb][+high,+back][+wb], [-cont,+secart][], [+syll,+high][], [-wb][-voice,+lab], [-nas][-ant], [+wb][-syll,+sonorant], 
nh e n i mh a	-9.098	-18.04	8	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	[], [+sg], [+sonorant,-cont], [-high][+high,-back], [+syll,+high][], [+wb][-syll,+sonorant], [+lab][][+wb], 
dy o N e d a	-9.597	-18.539	8	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	[], [-ant][], [+sonorant,-cont], [-cont,+secart][], [+wb][+syll,+back][-back], [+cons,+sonorant,+dor][+sonorant], [-nas][-delrel,+voice,-sg], [-low][-delrel,+cor][+low], 
t u zh o vh a	-12.151	-21.094	8	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	[], [-ant][], [+sg], [+high][-high], [+wb][+back][+wb], [-wb][+lab], [+cont,+voice][], [+syll,+high][], [-nas][-ant], [+lab][][+wb], 
mh e n i vh a	-10.613	-19.555	8	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	[], [+sg], [+sonorant,-cont], [+cont,+voice][], [-high][+high,-back], [+syll,+high][], [+wb][][+wb], [+wb][-syll,+sonorant], [+lab][][+wb], 
tsv o h a nh a	-9.729	-18.671	8	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+sg], [+wb][+back][+wb], [+sonorant,-cont], [-cont,+secart][], [-low][+low][+back], 
y u r u m a	-5.472	-14.415	8	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	[], [-syll,-cons], [+sonorant,-cont], [+wb][-back][+back], [+syll,+high][], [-cont,-sg,+lab][-high], [+wb][-syll,+sonorant], [+lab][][+wb], 
dy a z a dz a	-5.541	-14.484	8	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+wb][+wb], [-ant][], [+ant,-secart][-wb], [+cont,+voice][], [-cont,+secart][], 
dy e d i d a	-8.398	-17.341	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	[], [-ant][], [-cont,+secart][], [-high][+high,-back], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-low][-delrel,+cor][+low], 
j u m o sh a	-8.419	-17.362	8	0	0	2	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	[], [-ant][], [+high][-high], [+wb][+back][+wb], [+sonorant,-cont], [+voice][-voice,+cor], [+syll,+high][], [-nas][-ant], [-cont,-sg,+lab][-high], 
ts u n e vh a	-9.286	-18.229	8	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [+sg], [+high][-high], [-wb][+lab], [+ant,-secart][-wb], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [+wb][+syll,+back][-back], [+lab][][+wb], 
h o dh e dz a	-6.055	-14.998	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+wb][+syll,+back][-back], 
r u bv a ch a	-6.871	-15.813	8	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	[], [-ant][], [+voice][-voice,+cor], [+delrel,+lab], [+wb][+high,+back][+wb], [+syll,+high][], [-nas][-ant], [-cont,-sg,+lab][-high], [+wb][-syll,+sonorant], 
tsv i d u dz a	-5.46	-14.402	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+wb][-back][+back], [-cont,+secart][], [+syll,+high][], [-nas][-delrel,+voice,-sg], 
bv e z u f a	-8.811	-17.753	8	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	[], [-wb][+lab], [+ant,-secart][-wb], [+delrel,+lab], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [-wb][-voice,+lab], [-cont,-sg,+lab][-high], [+lab][][+wb], 
d i vh i sh a	-7.918	-16.86	8	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sg], [-wb][+lab], [+voice][-voice,+cor], [+cont,+voice][], [+syll,+high][], [-nas][-ant], 
h u b u ch a	-7.893	-16.836	8	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sg], [-wb][+lab], [+voice][-voice,+cor], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-nas][-ant], 
