word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
z a X a	759	2607	4
z a k a	2277	4917	4
z a k a	2277	4917	4
z a K a	2530	5302	4
z a K a	2530	5302	4
z a K u r u	7564	38672	6
z a k u	2574	5934	4
z a l i	4620	9612	4
z a L a	3542	6842	4
z a L p a	4928	15452	5
z a L P a	5236	16313	5
z a m a	2530	5302	4
z a m h a	3300	11827	5
z a m P a	3740	13277	5
z a m u	2860	6388	4
z a n k a	4290	13900	5
z a n K a	4576	14727	5
z a n k u	4641	16165	5
z a n q a	4576	14727	5
z a n Q a	4862	15554	5
z a N a	3036	6072	4
z a N u	3432	7296	4
z a p a q a	4840	25367	6
z a P a q a	5203	26576	6
z a P i	3388	7612	4
z a P u	3146	6842	4
z a p u	2860	6388	4
z a q a	2530	5302	4
z a q o	2750	6026	4
z a r a n a	7117	34370	6
z a r K i	5628	19572	5
z a r k i	5250	18526	5
z a s k a	3630	12518	5
z a t a	3036	6072	4
z a t i	3696	8112	4
z a w a	2277	4917	4
z a w i	2772	6612	4
z a w s t a t a	7953	76874	8
z a x X u	1863	8295	5
z a x c i	4104	16824	5
z a x e	2772	6612	4
z a x L u n a	8888	59876	7
z a x m i	3618	15122	5
z a x t a	3564	13209	5
z a x w a	2970	11136	5
z a x w i	3375	14271	5
z a y k a	3300	11827	5
z a y K a	3520	12552	5
z a y N a	3960	14002	5
z e n q a	6006	18682	5
z e q a	3680	7112	4
z e x c i	5184	21264	5
z e x e	4032	8832	4
z e x o L a	7240	38325	6
z e x t a	4644	16824	5
z i X i	1344	4992	4
z i h i	4032	8832	4
z i h m a	4158	15122	5
z i h u	3744	7944	4
z i K i	4480	9472	4
z i K u	4160	8528	4
z i k i	4032	8832	4
z i k u	3744	7944	4
z i l a	5520	9612	4
z i l X i	4320	16572	5
z i L a	5152	9112	4
z i L i w a	9872	42894	6
z i m a k a	5759	29763	6
z i m i	4480	9472	4
z i n a	4784	8612	4
z i n k a t a	8295	59652	7
z i N i	5376	10752	4
z i P a	4048	7612	4
z i p i	4480	9472	4
z i p o q o	6990	36904	6
z i r i	6272	12032	4
z i r m i	7168	24592	5
z i r u	5824	10864	4
z i r w a	6090	18526	5
z i s i	4928	10112	4
z i s L i	7040	25848	5
z i t i	5376	10752	4
z i w a	3312	6612	4
z i w i	4032	8832	4
z i w	1728	1728	3
z i y a	3680	7112	4
z o L Q e	6650	22710	5
