word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
b a b a	43400	86800	4
p r oo b a b a b a	168609	2040524	9
c i c a b a b a	201591	1903572	8
f a b a b a	94550	510876	6
k a b a l a b a b a	182600	2846904	10
f O l d b a b a	181257	1712399	8
r o n D b a b a	155072	1479688	8
l e n C i b a b a	186261	2241144	9
C i n i b a b a	132256	1469320	8
j aa t ee g b a b a	181088	2107418	9
k a u C u g b a b a	236961	3548036	10
g y l b a b a	135470	939098	7
a u t oo b a b a	148370	1288372	8
a l v oo b a b a	170434	1459734	8
O l t O s t e t OO b a b a	381445	9373042	13
k a r a k t e r b a b a	276796	6102220	12
k i Z b a b a	172509	1134349	7
k i r a k a d b a b a	240534	4505898	11
z a b a	55025	119425	4
b aa b a	43400	86800	4
C aa b a	57350	125950	4
h i aa b a	68675	249838	5
m i n t h i aa b a	166311	1793928	9
n e m h i aa b a	118816	1053822	8
k aa b a	48050	99850	4
e s k aa b a	138478	632320	6
Z aa b a	55800	121600	4
a r d z Z aa b a	263020	2003540	8
i d e g Z aa b a	196730	1716964	8
aa D ee g Z aa b a	210581	1846191	8
d e r ee g Z aa b a	223541	2570811	9
f a r Z aa b a	167175	1157627	7
a bb a	25625	25625	3
b a r k o h b a	193148	1654160	8
C i b a	66526	140026	4
h i b a	55738	111238	4
N o m d a h i b a	160468	1773632	9
f o r m a h i b a	173233	2206056	9
b e s ee t h i b a	246275	2740752	9
s ee p S ee g h i b a	287349	4436760	10
h a n g h i b a	155913	1471007	8
t o l h i b a	160051	1063995	7
j e ll e m h i b a	163713	1980516	9
O n h i b a	102358	478948	6
S a j t oo h i b a	219425	2739812	9
v e r OO h i b a	189222	1735468	8
g ee p h i b a	148428	992442	7
k ee p h i b a	150939	1032813	7
m o t o r h i b a	208771	2168904	9
s a r v a S h i b a	298594	4546776	10
a d aa S h i b a	210844	1733333	8
N ii l aa S h i b a	230923	2372176	9
j aa r aa S h i b a	234619	2567960	9
ii r aa S h i b a	211519	1778695	8
l aa t aa S h i b a	241519	2678280	9
s e d ee S h i b a	264200	3172146	9
l ee p ee S h i b a	242681	2684660	9
O n t ee S h i b a	240167	2561580	9
m yy h i b a	110794	460296	6
b e t yy h i b a	187736	1618366	8
l i b a	52142	101642	4
g a l i b a	104117	508978	6
k a l i b a	106592	533440	6
v a d l i b a	145880	1016602	7
k i S l i b a	192531	1232775	7
Z i b a	64728	135228	4
b a m b a	44175	175834	5
s a m b a	51775	235258	5
s aa m b a	51775	235258	5
h i m b a	52193	216574	5
b o m b a	48887	192490	5
v ii z i b o m b a	203896	2397449	9
p l a s t i g b o m b a	297709	6319387	12
l e v ee l b o m b a	204104	3018520	10
n a p a l m b o m b a	162305	2961643	11
a t o m b o m b a	127709	1630564	9
h i d r o g ee n b o m b a	265339	7034977	13
v i t a m i n b o m b a	193576	4601188	12
n e u t r o n b o m b a	212246	4454424	12
r o bb a n oo b o m b a	199549	3755423	11
D uu j t oo b o m b a	204848	3256344	10
C OO b o m b a	123845	976595	7
r e p y l OO b o m b a	225463	4077479	11
r e p e z b o m b a	217465	3156848	10
t e r m i d b o m b a	195050	3726322	11
k o b a l d b o m b a	223598	4183442	11
f y Z d b o m b a	238266	2692546	9
s e g z b o m b a	224099	2706053	9
g aa z b o m b a	164991	1472720	8
k O N g aa z b o m b a	229062	4337760	11
b yy z b o m b a	178653	1533155	8
g o m b a	50540	204532	5
r o Z d a g o m b a	235361	3377926	10
f a g o m b a	110040	844282	7
N aa l k a g o m b a	185015	2571656	10
r oo k a g o m b a	168874	2047604	9
p a p S a p k a g o m b a	297290	7627464	13
l a S k a g o m b a	232365	3337512	10
k u C m a g o m b a	188703	2996764	10
t i n t a g o m b a	165945	2686604	10
g ee v a g o m b a	170467	2066495	9
OO z l aa b g o m b a	218039	3316768	10
g a l a m b g o m b a	180207	3479088	11
S v ee d g o m b a	200569	2608729	9
b o l o n d g o m b a	206563	3841828	11
r i z i k e g o m b a	272165	4763356	11
t OO k e g o m b a	182242	2191910	9
C i p e r k e g o m b a	273007	6411033	12
C i r k e g o m b a	226397	3608768	10
p e r e s k e g o m b a	298589	6212441	12
C ee s e g o m b a	216752	2665186	9
C i ll a gg o m b a	174058	2312360	9
k ee n v i r aa gg o m b a	231331	5352491	12
p O f e t e gg o m b a	247270	4410454	11
s O m O r C O gg o m b a	298385	6787773	12
y s O gg o m b a	175811	1607399	8
uu r i g o m b a	137511	1265399	8
h aa z i g o m b a	200390	2344407	9
m aa j g o m b a	122181	1039289	8
k o r a l g o m b a	197687	3050408	10
g e r e b e n g o m b a	212672	4879700	12
t u S k oo g o m b a	257415	3615236	10
t a p l oo g o m b a	194039	2931556	10
t e j e l OO g o m b a	223024	4110566	11
e r j e s t OO g o m b a	307987	6320647	12
ee l e s t OO g o m b a	279340	4718598	11
S u g aa r g o m b a	205274	3310220	10
C aa s aa r g o m b a	236853	3717504	10
t O l C ee r g o m b a	286622	5057462	11
k e N ee r g o m b a	168371	2686668	10
b OO r g o m b a	149573	1368461	8
s a r v a S g o m b a	285782	5380390	11
t o j aa S g o m b a	227197	3344332	10
l i k a C o S g o m b a	353095	7245685	12
p e n ee s g o m b a	199563	2895040	10
m o s a t g o m b a	215897	2946940	10
t i n oo r u g o m b a	192368	3731562	11
s e g f yy g o m b a	248318	3787282	10
k e S e r yy g o m b a	266602	4800746	11
k a t a k o m b a	165643	2063808	9
p l o m b a	79656	431344	6
i r o m b a	77742	416452	6
g o r o m b a	110280	804698	7
o t r o m b a	116979	816117	7
h e k a t o m b a	170779	2113076	9
r u m b a	47557	191890	5
m i k r o b a	143347	838955	7
s o b a	64728	135228	4
b a b a s o b a	178628	1556708	8
t i s t a s o b a	276463	3140468	9
k aa r T a s o b a	256453	2954080	9
C e l ee cc o b a	216268	2087542	8
m a n z aa r cc o b a	250069	3231176	10
b e t e g s o b a	241156	2657916	9
v e n d ee g s o b a	246097	3652142	10
f ee r f i s o b a	272437	3152312	9
uu r i s o b a	175073	1077425	7
D e r m e k s o b a	255046	3843776	10
m e ll ee k s o b a	236065	2342756	9
e m l ee k s o b a	228937	2342756	9
S a r o k s o b a	263699	3139536	9
o l d a l s o b a	237120	2657868	9
p aa n c ee l s o b a	263043	3731252	10
k y l O n s o b a	214995	2620252	9
l e aa N s o b a	154476	1436710	8
t o r o N s o b a	203319	2457416	9
f o g a d oo s o b a	269223	4025592	10
l a k oo s o b a	212036	1800600	8
h aa l oo s o b a	203684	1800600	8
t a n u l oo s o b a	226334	3250248	10
v aa r oo s o b a	205334	1841370	8
ii r oo s o b a	176030	1092960	7
i v oo s o b a	190211	1197841	7
a l v oo s o b a	226910	1841370	8
d o l g o z oo s o b a	348609	6004500	11
f y r d OO s o b a	268026	3133308	9
e l OO s o b a	182683	1107835	7
s y l OO s o b a	234856	2202522	8
O l t O z OO s o b a	339729	4614064	10
k O N f t aa r s o b a	294145	5463917	11
f e D v e r s o b a	330918	4806176	10
OO r s o b a	157788	679480	6
r e n d OO r OO r s o b a	318165	6647173	12
p a d l aa ss o b a	220028	2489090	9
y D e l e t e ss o b a	304461	5563395	11
S y k e cc o b a	238722	2241316	8
p a r a s cc o b a	275863	2883440	9
o S t o b a	149350	678424	6
p r oo b a	81809	262966	5
r u h a p r oo b a	194001	2279736	9
k a r c p r oo b a	250142	2825484	9
h ii t p r oo b a	184254	1678765	8
h a n g p r oo b a	176000	2147264	9
S t i h p r oo b a	238183	2982468	9
ee n e k p r oo b a	186917	2030812	9
f ee k p r oo b a	191588	1774262	8
f o n a l p r oo b a	198662	3143208	10
t o l p r oo b a	178730	1621998	8
a l k o h o l p r oo b a	317396	6527980	12
t y r e l e m p r oo b a	250964	5615590	12
k ee m p r oo b a	136130	1347528	8
t a l aa l o m p r oo b a	237160	5330524	12
k O r O m p r oo b a	208506	3213488	10
e ll e n p r oo b a	163637	1943212	9
m i k r o f o n p r oo b a	312063	7476294	13
a r a N p r oo b a	157517	1851696	9
k oo S t o l oo p r oo b a	348232	7381460	12
s uu r oo p r oo b a	208859	2632980	9
o l v a S oo p r oo b a	303127	5303937	11
s a k ii t oo p r oo b a	276996	5259700	11
f u t oo p r oo b a	209091	2537244	9
h uu z oo p r oo b a	234802	2717902	9
f OO p r oo b a	152923	1090409	7
e r OO p r oo b a	172856	1506928	8
t e h e r p r oo b a	238094	3489968	10
f e D v e r p r oo b a	322523	5773075	11
v ee r p r oo b a	177938	1656472	8
z aa p o r p r oo b a	233027	3641528	10
m o t o r p r oo b a	227450	3026760	10
N o m aa S p r oo b a	213986	2865000	10
ii r aa S p r oo b a	228190	2546974	9
l aa t aa S p r oo b a	258190	3667080	10
C e r k ee s p r oo b a	325775	6135835	11
O s p r oo b a	175057	1171295	7
h ee t p r oo b a	181874	1657880	8
O t p r oo b a	151249	1009523	7
e z y S t p r oo b a	325128	4446312	10
aa r u p r oo b a	159326	1394770	8
S a f p r oo b a	203702	1927470	8
t ii s p r oo b a	216746	1871055	8
v ii s p r oo b a	222010	1956467	8
t yy s p r oo b a	226052	1939230	8
a m OO b a	57009	175834	5
f a r b a	84975	289918	5
C o r b a	102135	356638	5
S o r b a	100221	346230	5
b u b a	46872	91822	4
g u b a	49383	98683	4
S u b a	60264	128414	4
t u b a	50220	100970	4
m a c a	52800	87475	4
c i c a m a c a	189091	1975462	8
p a c a	67200	123775	4
t i n t a p a c a	174705	2315226	9
d u l C aa c a	203178	1375114	7
p o j aa c a	117544	603526	6
a p aa c a	86575	275350	5
ee c a	32400	32400	3
g a l a m b i c a	174108	2187149	9
t u b i c a	131520	665010	6
c i c a	101616	194016	4
s o b a c i c a	238344	2372460	8
p o r c i c a	223155	1419342	7
k i S c i c a	282895	1798766	7
h o r C i c a	232203	1546828	7
d r aa g i c a	162878	1180240	7
m a n g a l i c a	178386	1942059	9
m u S l i c a	191703	1151016	7
g u z l i c a	207972	1404310	7
g aa n i c a	97107	531088	6
p a r e N i c a	147036	1452295	8
s o p o r N i c a	202217	2793388	9
k u p i c a	133194	685150	6
k u k o r i c a	209832	1997617	8
C e m e g e k u k o r i c a	351987	11749898	14
S i l oo k u k o r i c a	346944	8231337	12
h e t e r oo z i S k u k o r i c a	570126	26094563	17
m a t r i c a	159731	960868	7
p a t r i c a	170231	1148764	7
k u t r i c a	180381	1278108	7
k a t i c a	141270	704614	6
S l i g o v i c a	266452	3468313	9
aa l c a	79200	129825	4
p aa l c a	104775	323854	5
S ee t a p aa l c a	219315	2914232	9
n aa t p aa l c a	177400	1524019	8
s ee n p aa l c a	165276	1788229	8
k o r m aa N p aa l c a	216567	4207304	11
l o v a g l oo p aa l c a	316253	7133602	12
N o m oo p aa l c a	171881	1968716	9
f e S t OO p aa l c a	309874	4755012	10
h e g e s t OO p aa l c a	359743	8041394	12
v a S p aa l c a	223450	2160445	8
b yy v ee s p aa l c a	300152	4509312	10
v a r aa S p aa l c a	269200	4258200	10
t aa l c a	108075	348890	5
e z y S t aa l c a	305719	3582809	9
h a m u t aa l c a	180055	2306538	9
k a n c a	69825	281596	5
a N a k a n c a	125500	1229527	8
t e N ee s k a n c a	222056	3568996	10
f a r k i n c a	176724	1843735	8
k a t r i n c a	169274	1723045	8
t a r g o n c a	164601	1663786	8
r a k o n c a	134315	1019020	7
p a s k o n c a	207296	1919015	8
S m o n c a	91900	574590	6
c o c a	101616	194016	4
k o c a	86304	157529	4
a N a k o c a	145679	906940	7
m a g k o c a	170386	1000746	7
p o c a	77952	137627	4
k a b oo c a	129102	662350	6
b i c e b oo c a	223137	2047912	8
p i oo c a	101239	325518	5
s a k oo c a	156604	831406	6
b a r k oo c a	177813	1178800	7
l oo c a	80736	144261	4
g a l oo c a	132711	653308	6
s a m oo c a	97348	618358	6
b a j n oo c a	123211	912268	7
k a p c a	103075	348106	5
aa l k a p c a	164125	1113544	7
b aa r c a	104775	323854	5
t aa r c a	108075	348890	5
c i g a r e tt a t aa r c a	357216	10194782	13
l e v ee l t aa r c a	266064	4060196	10
v aa l t oo t aa r c a	263520	4134432	10
s i v a r t aa r c a	279432	4586352	10
b OO r t aa r c a	204468	1909945	8
i r a tt aa r c a	200950	1893709	8
e z y S t aa r c a	305719	3582809	9
p ee n s t aa r c a	227971	2786884	9
o r c a	85536	144261	4
aa l o r c a	141042	643250	6
h e r c e h u r c a	308763	4713838	10
u cc a	33075	33075	3
t ee r j m e g u cc a	214431	3402336	10
z u g u cc a	145071	796288	6
Z aa k u cc a	150476	815596	6
m e ll ee k u cc a	182952	1536484	8
S ee t aa l oo u cc a	218121	2942868	9
v aa S aa r l oo u cc a	270062	4295768	10
f OO u cc a	108405	393502	5
D a l o g o S u cc a	300581	4737336	10
k e r e s t u cc a	267111	3259660	9
b u c a	72576	130701	4
c u c a	94608	184608	4
p u c a	72576	130701	4
r u c a	75168	137043	4
C a C a C a	181300	949124	6
k a C a	75950	144400	4
v a t k a C a	174825	1282827	7
p e C e N e k a C a	241730	3747416	10
C a l i k a C a	202534	2128256	8
k i S k a C a	220287	1524025	7
d aa C a	72275	135175	4
p o g aa C a	127491	641202	6
t O k m a g p o g aa C a	280070	6560212	12
o l a j p o g aa C a	228885	3554976	10
v a j a S p o g aa C a	292194	5672522	11
Z ii r o S p o g aa C a	327200	6517696	11
h uu S p o g aa C a	256036	3162026	9
b r aa C a	96625	328702	5
b r e CC a	104355	342670	5
p i C a	79576	140026	4
t oo C a	85260	153510	4
v ee r t oo C a	184689	1324761	7
v ii s t oo C a	230349	1585356	7
h a r C a	111375	366754	5
t O r p e h a r C a	262458	4100456	10
s aa r C a	119625	430174	5
t aa r C a	109725	354070	5
s ii j t aa r C a	208026	2164885	8
f ee k t aa r C a	218024	2151080	8
S ii k t aa r C a	227052	2313703	8
i n d ii t oo t aa r C a	273063	4925672	11
y t k O z OO t aa r C a	364018	6608546	11
f u r C a	120615	408230	5
d a d a	50150	100300	4
b a ll a d a	95500	474082	6
v ii g b a ll a d a	188490	2349044	9
n ee bb a ll a d a	154672	1322575	8
m yy b a ll a d a	137784	1197179	8
a r m a d a	68750	377818	6
g a r m a d a	96800	742298	7
j e r e m i aa d a	143159	1783632	9
d i C ee r i aa d a	226004	2620345	9
r aa t oo t i aa d a	190485	2252028	9
l aa d a	49300	97975	4
b o r d a l aa d a	188230	2229569	9
f a l aa d a	103750	554302	6
d e s k a l aa d a	234024	2676683	9
k a t o n a l aa d a	181540	2865500	10
p o S t a l aa d a	229883	2596830	9
v i r aa g l aa d a	194698	2427321	9
s O v e g l aa d a	232912	2912727	9
f r i D l aa d a	211792	2000701	8
c ee h l aa d a	160744	1193098	7
k o C i l aa d a	213904	1903537	8
h o m o k l aa d a	171987	2186966	9
s ee ll aa d a	113452	623626	6
s e r s aa m l aa d a	225504	3652132	10
o l t oo l aa d a	173710	1559355	8
f a D a s t oo l aa d a	322675	5878250	11
m e n t OO l aa d a	164083	1774320	9
h yy t OO l aa d a	184460	1716695	8
k ee p l aa d a	133465	962170	7
S ii p l aa d a	144315	1105050	7
f aa S l aa d a	175025	1204970	7
l e v e l e S l aa d a	293815	5251102	11
s e n e S l aa d a	198559	2616748	9
s e NN e S l aa d a	198559	2616748	9
s e m e t e S l aa d a	255799	5022918	11
l i s t e S l aa d a	311466	4435572	10
ee l ee S l aa d a	195886	1695247	8
m a l t e r o S l aa d a	310792	6106563	12
S O r O S l aa d a	264031	3240616	9
p a n a s l aa d a	180925	2119040	9
s e m ee t l aa d a	165277	2264018	9
c i r aa d a	119161	653308	6
t i r aa d a	106720	542938	6
i n t r aa d a	123745	828538	7
s t r aa d a	132460	708394	6
a u t oo s t r aa d a	278900	3697932	10
s aa d a	61200	130525	4
S v aa d a	100225	375172	5
h a b d a	81375	275698	5
l a b d a	78275	255982	5
j aa cc m a l a b d a	199100	3073416	10
m e C l a b d a	187496	1519415	8
f O l d l a b d a	220076	2702675	9
p i n g p o n g l a b d a	261757	6988610	13
r o n D l a b d a	194087	2381518	9
S i m i l a b d a	162259	2268234	9
g u m i l a b d a	152702	1935329	9
k ee z i l a b d a	228194	2684603	9
t e r e m k ee z i l a b d a	338327	10298436	14
v ii z i l a b d a	233806	2768816	9
f a ll a b d a	132725	983466	7
m e d i c i n l a b d a	276689	5604668	12
h oo l a b d a	137609	990570	7
C O r g OO l a b d a	258323	4107002	10
D e p l a b d a	169136	1702375	8
r O p l a b d a	167276	1561511	8
S t r a n d r O p l a b d a	343955	11051726	14
k o S aa r l a b d a	256006	3843584	10
b OO r l a b d a	170972	1561511	8
t o ll a S l a b d a	252020	3773280	10
m ee r k OO z ee S l a b d a	396312	9169969	13
t e n i s l a b d a	226940	3414708	10
k e r e s t l a b d a	304751	5440294	11
e p e d a	74007	236626	5
r e z e d a	139698	636880	6
c ee d a	67014	140214	4
g l ee d a	83538	283123	5
p r ee d a	80865	267280	5
k O s p r ee d a	228022	2004189	8
C i ll a g d a	156668	1193694	7
f o g d a	102850	339397	5
QQ i d a	72964	150139	4
g i d a	58174	111724	4
k e C k e g i d a	265615	3029735	9
OO z g i d a	152014	713277	6
a l k a l o i d a	196497	2251228	9
a s t e r o i d a	223561	2598654	9
g e p i d a	107947	535912	6
k a r i a t i d a	188285	2300226	9
d r u i d a	107405	553606	6
d r a v i d a	151604	1059154	7
v a j d a	82925	285556	5
h i z l a l d a	214655	1935180	8
d i s n oo h i z l a l d a	371893	9659254	13
r i v a l d a	153873	1044970	7
p ee l d a	85965	267280	5
i S k o l a p ee l d a	292661	5259102	11
s aa m t a n p ee l d a	193767	4058438	11
e ll e n p ee l d a	163887	1963528	9
k u kk o l d a	161931	1105498	7
u m b u l d a	117771	756850	7
t ee b o j d a	138353	966386	7
N o m d a	46455	162202	5
z u g N o m d a	128667	1374462	8
p ee n z j e D N o m d a	249147	5623664	12
h aa z i N o m d a	168030	2086397	9
k ee z i N o m d a	174102	2136247	9
k OO N o m d a	89421	749658	7
k O N v N o m d a	136881	1890042	9
b a n d a	51975	196834	5
h a n d a b a n d a	152825	2545514	10
k a t o n a b a n d a	181915	3583194	11
m a l a d z b a n d a	239559	3911316	11
c i g aa N b a n d a	174353	2951081	10
r a b l oo b a n d a	184934	2816480	10
a r a t oo b a n d a	180790	2696744	10
b e t O r OO b a n d a	233821	4190954	11
g e n g s t e r b a n d a	308815	7862882	13
r e z e Z b a n d a	260633	3700332	10
C e m p ee z b a n d a	221572	4539344	11
p r o p a g a n d a	182959	2845076	10
e ll e n p r o p a g a n d a	264787	8192264	14
S i k e r p r o p a g a n d a	356708	13099474	15
p a n d a	51975	196834	5
oo r i aa S p a n d a	210578	3152496	10
v e r a n d a	110049	848890	7
y v e g v e r a n d a	250098	4612552	11
S a n d a	60375	262258	5
a g e n d a	79356	415894	6
l e g e n d a	111486	817570	7
h a c i e n d a	170355	1581130	8
v aa l e n d a	110289	848890	7
aa r e n d a	78114	408970	6
g e r e n d a	110190	817570	7
C uu C g e r e n d a	264981	4051594	10
S y v e gg e r e n d a	260244	5017396	11
t o r o k g e r e n d a	277295	6102324	12
D aa m g e r e n d a	165157	2866582	10
t aa m g e r e n d a	160407	2601012	10
p a d l oo g e r e n d a	256288	5568740	12
t a r t oo g e r e n d a	262567	5804148	12
k O t OO g e r e n d a	249318	4627664	11
t a l p g e r e n d a	227880	4225800	11
S aa r g e r e n d a	207309	3380086	10
m e S t e r g e r e n d a	314904	7560599	13
t aa m a s g e r e n d a	244111	5459516	12
h o s g e r e n d a	250109	3655070	10
k e r e s t g e r e n d a	341566	8685545	13
k o s o r uu g e r e n d a	326046	8434257	13
r e v e r e n d a	177825	2143296	9
r e m i tt e n d a	150677	1936888	9
i n d a	38556	78431	4
t O k i n d a	134497	957146	7
s e d e r i n d a	182718	2401621	9
k o n d a	61089	241564	5
m o n d a	50127	162202	5
m e n d e m o n d a	131775	1984092	10
r e m o n d a	81933	665050	7
t e m o n d a	82959	684922	7
n ee p m o n d a	100688	954739	8
OO S m o n d a	103707	854138	7
h OO S m o n d a	157616	1517215	8
e r e d e t m o n d a	198634	3692144	11
r o n d a	58653	223928	5
s o n d a	67179	285654	5
a l k o h o l s o n d a	329298	6848849	12
b a ll o n s o n d a	194022	3019920	10
r aa d i oo s o n d a	227527	3383046	10
yy r s o n d a	160239	1055290	7
b u n d a	54705	205972	5
i r h a b u n d a	170239	2051028	9
n u t r i a b u n d a	206555	3592082	11
f oo k a b u n d a	175123	2233804	9
r oo k a b u n d a	166539	2051028	9
p ee Z m a b u n d a	176130	2774096	10
p e r Z a b u n d a	220328	3217812	10
d ee d z b u n d a	215131	2457578	9
n e r d z b u n d a	242308	3148483	10
s OO r m e b u n d a	177654	3015984	10
l e n D e l b u n d a	219783	4154866	11
a s t r a h aa n b u n d a	285917	7380612	13
s i l s k i n b u n d a	311470	6913491	12
C i k oo b u n d a	195935	2527552	9
f a r k a Z b u n d a	268819	5047142	11
j u h aa z b u n d a	227351	3315104	10
p a n o f i g z b u n d a	318423	7857646	13
s e k u n d a	132033	1021594	7
r o t u n d a	117873	854490	7
o d a	24650	24650	3
l a b o d a	103266	508978	6
C o d a	72964	150139	4
v i l aa g C o d a	252226	2967325	9
k i C o d a	166750	750758	6
a k aa r k i C o d a	286334	3979356	10
m i C o d a	141172	555530	6
a k aa r m i C o d a	228680	3329340	10
g ee p C o d a	186486	1195746	7
g o d a	58174	111724	4
p a g o d a	109174	517242	6
v aa g o d a	115974	586066	6
k a l o d a	111638	559918	6
s aa ll o d a	119888	644818	6
l u k s u ss aa ll o d a	338129	5886978	11
a m o d a	57159	179134	5
u D a n o d a	114581	865114	7
t a n o d a	78956	438346	6
s ii n i t a n o d a	170334	2986896	10
f o n o d a	87986	516662	6
f i n o m f o n o d a	187369	3914558	11
D yy r yy S f o n o d a	329435	5980878	11
f ee S yy S f o n o d a	363453	6261554	11
ee pp o d a	97179	296214	5
i r o d a	84941	267648	5
j e D i r o d a	200906	1746685	8
m e n e TT e D i r o d a	302318	5881159	12
f i oo k i r o d a	217065	2673996	9
k ee m i r o d a	136982	1363721	8
i n g a t l a n i r o d a	263644	6709259	13
o k m aa N i r o d a	168200	2629596	10
v e r S e N i r o d a	266633	4975274	11
h a n g v e r S e N i r o d a	367556	13070634	15
f o g a d oo i r o d a	259914	4928448	11
f o r d ii t oo i r o d a	307060	6899768	12
S a j t oo i r o d a	237144	3777424	10
t u d a k o z oo i r o d a	352779	9035530	13
h i r d e t OO i r o d a	305739	6745652	12
t e r v e z OO i r o d a	343585	7376400	12
p a n a s i r o d a	218070	3152496	10
k a b i n e t i r o d a	252158	5660237	12
p aa r t i r o d a	206381	2358504	9
v a rr o d a	113288	576898	6
m o S o d a	136416	540858	6
g OO z m o S o d a	237340	2853202	9
u s o d a	107793	325836	5
