word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
g e ʧ	37323	37323	3
p a i s ə ŋ	115643	502794	6
p a i ɢ a	81675	255222	5
n e g	30537	30537	3
e n	0	0	2
p ɔ ɮ	34891	34891	3
ɔ n	0	0	2
x u ŋ	26862	26862	3
i x	0	0	2
p a i t ə g	129920	588780	6
ɔ n t	34317	34317	3
p a i χ	54450	95436	4
p ɔ ɮ ə ŋ	121138	312454	5
p o g o t	120959	370138	5
ɔ ɮ ə ŋ	86247	152995	4
e n	0	0	2
tʰ e r	46176	46176	3
t ee r	42439	42439	3
g i s ə ŋ	86768	264372	5
s a r ə ŋ	110704	307804	5
p ɔ ɮ s ə ŋ	142191	604890	6
g i t ə g	100781	319470	5
ʃ i g	29667	29667	3
ʊ ɮ s	35409	35409	3
ʊ ɮ s ə ŋ	98716	307804	5
p ɔ ɮ ʧ	84952	144154	4
m ɔ ɴ ɢ ə ɮ	102760	595628	6
p ɔ ɮ ə χ	127983	347694	5
p ɔ ɮ ə n	127983	347694	5
p a s	22011	22011	3
ɢ a ʦ ə r	110336	355239	5
u j ə t	75480	152329	4
g ee t	33263	33263	3
x a m gʲ i ŋ	86625	455686	6
χ ɔ j ə r	119790	400250	5
ʧʰ i nʲ	31581	31581	3
tʰ ʊ χ a i	87318	314226	5
t ee	0	0	2
ʊʊ	0	0	1
p a i w	53361	92829	4
t a r a	78144	149754	4
j a m ə r	89500	335032	5
pʲ i ɮ e	75702	138492	4
n i g ə ŋ	84854	253514	5
mʲ i nʲ	23925	23925	3
pʲ i ʃ	23529	23529	3
p a i ʧ	60984	111078	4
o m n	29025	29025	3
ʃ uu	0	0	2
s a i ŋ	55539	97647	4
j ʊʊ	0	0	2
ʦ i r ə g	123950	376944	5
m o ŋ	23650	23650	3
a w ʧʰ	28314	28314	3
tʰ ɔ m	32800	32800	3
t aa	0	0	2
s a i χ ə ŋ	115929	540482	6
o t ə r	91760	199948	4
ʧ i ɮʲ i ŋ	119064	331056	5
x u nʲ i	70818	142692	4
p a i ɮ a	105633	316206	5
oo r	0	0	2
x u m u s	91575	328546	5
p ʊ j ʊ	55440	103257	4
p ʊ i	25047	25047	3
χ a rʲ ə ŋ	119966	316454	5
pʲ ii	0	0	2
x i t ə ŋ	96844	297682	5
tʰ o rʲ i ŋ	144361	385437	5
g e x	37323	37323	3
ʦ u i ɮ	84249	167129	4
oo rʲ i ŋ	85239	151987	4
ɢ ɔ ɮ	39442	39442	3
tʰ uu nʲ i	67860	136500	4
n a r	32967	32967	3
ʧ i ɮ	40293	40293	3
xʲ ii ʧ	31680	31680	3
tʰ ʊ s	30624	30624	3
e r x	47619	47619	3
p a i ʧ e	103455	327294	5
t a χ	27621	27621	3
u i ɮ	45177	45177	3
ʦʰ a g	29667	29667	3
tʰ e r	46176	46176	3
t i ɮ xʲ i ŋ	132891	587842	6
x u r tʰ ə ɮ	176601	892810	6
i x	0	0	2
tʰ a ɮ a r	124542	405884	5
p u r	31487	31487	3
m aa nʲ	23200	23200	3
χ ʊ wʲ t	51678	101898	4
m ɔ ɴ ɢ ə ɮ ə ŋ	183531	1608290	8
mʲ i nʲ i	55506	106656	4
m e tʰ	31200	31200	3
ʊ t a	33759	33759	3
ɔ t ɔ	52111	52111	3
p u x	28083	28083	3
m a ʃ	25575	25575	3
ʃ i n	27621	27621	3
n e r	38961	38961	3
p ʊ s ə t	90683	281550	5
p ɔ ɮ ə w ʧʰ	158360	691634	6
pʲ i t	23529	23529	3
ɔ r ə ŋ	86247	152995	4
u g	0	0	2
x i r ə g tʰ e	195699	1404312	7
ʦ a s gʲ i ŋ	96624	481548	6
g i x t e	105237	356646	5
e x	0	0	2
m o ŋ	23650	23650	3
tʰ ʊ s ɢ a i	108702	593180	6
ɔ r ʧ	50061	50061	3
χ aa ŋ	19008	19008	3
x i m e ŋ	80850	272382	5
i ɮ u	45177	45177	3
a ʧ	0	0	2
i r s ə ŋ	98716	307804	5
ɢ a ʦ r ə ŋ	140454	593917	6
tʰ ʊ ɮ	39072	39072	3
x i s ə g	98107	331714	5
a ɮ p ə ŋ	78292	270814	5
