word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
a ʧʰ a j	21384	37908	4
a ʧ a j k u n a s	118563	1355962	9
a ʧ a j m a n	47574	403215	7
a ʧ a j n i x t a t a x	136758	3066130	12
a ʧ a j p a x	48780	341578	7
a ʧʰ a j p i	41040	229896	6
a ʧ a j r a j k u ʧ a	154195	2928786	11
a ʧʰ a j t a	45360	247320	6
a ʧʰ a j t a q a	70110	664035	8
a ʧʰ i k a ʧ a s t a	140346	2091986	10
a ʧ u	19314	19314	3
a k' a k u x	63191	274154	6
a h i n a	35064	100836	5
a h i n a ʧ i x t a ɲ a t a x	189186	6351630	15
a h i n a ʧ o q a	101944	1064896	9
a h i n a ʧ u	76356	532300	7
a h i n a ʎ a	67194	421833	7
a h i n a ʎ a m a n t a q a	165312	4706815	14
a h i n a ʎ a m a n t a x	151884	3597977	13
a h i n a ʎ a p i	94806	1083995	9
a h i n a ʎ a p i ɲ a	127542	2182016	11
a h i n a ʎ a p u n i	144996	2526782	11
a h i n a ʎ a t a ɲ a	133182	2289690	11
a h i n a ʎ a t a x	113814	1501166	10
a h i n a ʎ a w a m p u n i	184918	5492102	14
a h i n a m a n a t a	108450	1949426	11
a h i n a m a n t a	107748	1507022	10
a h i n a n m a m p i s	119460	2550630	12
a h i n a p e q a	81868	890837	9
a h i n a p i	61740	406926	7
a h i n a p u n i	111930	1234172	9
a h i n a p u n i ʧ u	166986	2907878	11
a h i n a p u n i ʧ u s	192738	3807278	12
a h i n a q a	58014	354543	7
a h i n a t a	69030	435291	7
a h i n a t a ʧ u	112986	1369026	9
a h i n a t a p u n i	147768	2578274	11
a h i n a t a t a x	116982	1536258	10
a h i n a w a n r i	151866	2171124	10
a h i n i t a	85104	488205	7
a h u s t a k u s u n m a n	212289	6242996	14
a h u s t a n a	95112	767776	8
a k a w a n	67068	343062	6
a k a j k u ʧ i j	131581	1389464	9
a k a j k u ʧ i j t a	159553	2844506	11
a k u ʎ i n a p a x q a	167255	3235554	12
a k u ʎ i r i ʃ a n	192419	2703674	10
a k u ʎ i r i s a x	185507	2257178	10
a k u ʎ i r i s q a	192995	2480426	10
a k u n	51765	89781	4
a k u n m a n	92520	621922	7
a ʎ a ʧ i ʎ a n i t a x	188490	3837620	12
a ʎ a k o ɴ q a ɲ a	104874	1594502	10
a ʎ a k u n	85155	420500	6
a ʎ a k u n a m p i ɲ a	167151	3507562	12
a l a l a j	60606	265752	6
a ʎ a r̞ q a j k u	101070	1358312	9
a ʎ a r̞ q o j t a w a n	160324	3769390	12
a ʎ a s a x	41580	193506	6
a ʎ a s a x t i j k u	117372	2453606	11
a ʎ a s q a	48060	233490	6
a ʎ a x k u n a	100736	877838	8
