word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
ee	0	0	1
ee b A	91086	91086	3
ee b ee zh U r	655557	3531746	6
ee b ee zh U r n i j	1021902	12956204	9
ee b A s	218994	501276	4
ee b ee zj I n	671094	2932498	6
ee b ee zj I nj i ts	851418	7952586	8
ee b ee zj I n k ee	786879	6720449	8
ee b ee zj I n s kj i j	1018047	16288486	10
ee b A k	151164	283751	4
ee b A k ee	200702	776922	5
ee b ee k A	258500	776922	5
ee b b A t	379449	1290201	5
ee b b ee tj I s ee	842139	7993358	8
ee b b A t s kj i j	784812	10389400	9
ee b b A t s t v ee	1131369	12923912	9
ee b b rj i vj i a t U r ee	1401720	32139996	12
ee b b rj i vj i a t U r n i j	1639332	51669972	14
ee b b rj i vj i A ts i j i	1336605	28342712	12
ee b dj i k A ts i j i	908300	13438982	10
ee b d O mj i n	644910	4039742	7
ee b d ee mj i n A lj n i j	1306914	29753142	12
ee b d U k t ee r	846249	8925953	8
ee b d U k t ee r n i j	1264884	24178804	11
ee b d U k ts i j i	819696	9950164	9
ee bj i lj I t	592011	2985899	6
ee bj i r r ee ts i O n n i j	1595646	39861861	13
ee bj i r r A ts i j i	1234196	18023820	10
ee b z A ts	605787	1783031	5
ee b z A ts n i j	902382	8576470	8
ee bj i j i tj I n	651066	6108749	8
ee bj i j i tj I n ee v i j	1073566	25558452	12
ee bj i s s A lj n i j	1131120	18333214	10
ee bj i s sj I nj i ts	847395	10635178	9
ee bj i s sj I n s kj i j	1016616	20411152	11
ee bj i t u rj i j E n t	1114025	22136872	11
ee bj i t u rj i j E n t k ee	1285145	34303464	13
ee bj i t u rj i j E n t s kj i j	1562948	59201599	15
ee b l ee k tj i r O f k ee	1335107	28747517	12
ee b lj i tj I f	826056	5305010	7
ee b lj A u t	582416	2856711	6
ee b lj A ts i j i	887403	7923562	8
ee b ee lj i ts i o nj I z m	1306169	30369127	12
ee b ee lj i ts i o nj I s t	1277765	30133274	12
ee b ee lj i ts i o nj I s t s kj i j	1809848	74126516	16
ee b ee lj I ts i j i	1006668	11713144	9
ee b ee nj i mj E n t	637263	8395159	9
ee b ee nj i mj E n t n i j	963558	22639908	12
ee b ee nj E n t	532029	4079994	7
ee b ee nj E n t k ee	703149	8500493	9
ee b ee nj E n t n i j	858324	13816492	10
ee b ee nj E n t s kj i j	980952	19241514	11
ee b ee nj I r ee v ee nj i j i	1369684	35726800	13
ee b ee nj I r ee v ee tj sj i	1482121	32093848	12
ee b ee r d A sh	1064311	6582822	7
ee b ee r d A zh n i j	1468466	21772074	10
ee b ee rj i gj E n	792219	6891847	8
ee b ee rj i gj E n n i j	1051014	19916600	11
ee b O r t	470820	1757195	5
ee b ee r t A rj i j	1247002	15274398	9
ee b ee r tj I v n i j	1198140	17893034	10
ee b r ee zj I f	1120753	6781052	7
ee b r ee zj I v n i j	1425988	20629894	10
ee b r ee zj i O n n i j	1405940	24662514	11
ee b r A zj i j i	1052859	9358589	8
ee b r ee k ee d A b r ee	1431754	28073850	11
ee b rj E k	537768	1296050	5
ee b rj i k O s	643614	4620100	7
ee b rj i k O s n i j	971259	15270869	10
ee b rj i k O s ee f k ee	1068306	18917556	11
ee b rj i k O s ee v i j	1163122	21962271	11
ee b rj i k ee tj I n	876636	10158679	9
A b rj i s	571032	1632100	5
A b rj i s n i j	895707	8132962	8
ee p sj E n t	447603	2361426	6
ee p sj i n tj i I z m	873729	14520952	10
ee p sj i n tj i I s t	855225	14434645	10
ee p s ee lj U t	825660	5322970	7
ee p s ee lj u tj I v n i j	1348975	29927584	12
ee p s ee lj u tj i zj I r ee v ee nj i j i	2431097	124105198	18
ee p s ee lj u tj I z m	1267264	19218635	10
ee p s ee lj u tj I s t	1225360	19086242	10
ee p s ee lj u tj I s t s kj i j	1757443	53489382	14
ee p s ee lj U t n ee s tj	1376676	26316677	11
ee p s ee lj U t n i j	1119555	16844865	10
ee p s ee lj U ts i j i	1125027	16035529	10
ee p s ee r bj E n t	1111623	12678731	9
ee p s O r bj i r	956826	9532460	8
ee p s ee r p ts i O n n i j	1336761	34448932	13
ee p s O r p ts i j i	1056867	15357833	10
ee p s tj i nj E n t	807678	9919494	9
ee p s t r ee gj I r ee v ee nj i j i	2097680	79516253	16
ee p s t r ee gj I r ee v ee tj sj i	2210117	73453895	15
ee p s t r A k t	924140	7754520	8
ee p s t r A k t n ee s tj	1469756	32837045	12
ee p s t r A k t n i j	1212635	21756265	11
ee p s t r ee k ts i o nj I z m	1629301	49040322	14
ee p s t r ee k ts i o nj I s t	1600897	48642612	14
ee p s t r ee k ts i o nj I s t s kj i j	2132980	106343964	18
ee p s t r A k ts i j i	1219067	20793185	11
ee p s U r t	551034	3081150	6
ee p s U r d n ee s tj	1434597	21822656	10
ee p s U r d n i j	1167126	13492946	9
ee p s ts E s s	754182	5599809	7
ee p s ts I s s ee	922086	8336493	8
ee b u lj I j i	663705	4603026	7
ee p x A s	232329	921395	5
ee p x A zj i ts	585377	4133950	7
ee p x A s k ee	398055	2867698	7
ee p x A s s kj i j	663432	8648710	9
A p ts u k	226560	600461	5
A p sh t rj i x	836344	4380235	7
ee b j u r A ts i j i	1047154	16001778	10
ee b i	99123	99123	3
ee v ee lj I s t	855864	6294962	7
ee v A lj	257040	629280	4
ee v ee n g A r t	689545	7584910	8
ee v ee n g ee r dj I z m	1583566	28406736	11
ee v ee n g ee r dj I s t	1521862	28187567	11
ee v ee n g ee r dj I s t s kj i j	2053945	70885996	15
ee v ee n g A r d n i j	1307546	23904576	11
ee v ee n z A l	830641	6301630	7
ee v ee n z A lj n i j	1232166	19530573	10
ee v ee n k A mj i r ee	709413	11790432	10
ee v ee n l O zh ee	935059	8964310	8
ee v ee n p O r t	703565	7591670	8
ee v ee n p O s t	639611	6791990	8
ee v ee n p O s t n i j	1022606	19613663	11
ee v A n s	276148	1177252	5
ee v ee n sj I r ee v ee nj i j i	1583124	48026372	14
ee v A n s ee v i j	817370	10400902	9
ee v ee n s ee m	642302	4207118	7
ee v ee n s ts E n ee	902159	10538078	9
ee v ee n t A sh	575084	4131959	7
ee v ee n t A zh n i j	963599	15622794	10
ee v ee n tj U r ee	770234	7918853	8
ee v ee n tj u rj I z m	1195586	18853627	10
ee v ee n tj u rj I n	922094	10995464	9
ee v ee n tj u rj I n ee v i j	1344594	37592272	13
ee v ee n tj u rj I s t	1131182	18724862	10
ee v ee n tj u rj i s tj I chj i s kj i j	1838893	89378671	17
ee v ee n tj u rj i s tj I chj n i j	1694695	62970162	15
ee v ee n tj u rj I s t k ee	1341362	29776133	12
ee v ee n tj u rj I s t s kj i j	1663265	52712760	14
ee v ee n tj U r n ee s tj	1275317	25655408	11
ee v ee n tj U r n i j	1007846	16377692	10
ee v A r	247520	598610	4
ee v A rj i ts	563104	2893210	6
ee v ee rj I j n ee s tj	1274121	20413790	10
ee v ee rj I j n i j	1015650	12517616	9
ee v ee rj I j shshj i k	1054306	11221008	9
ee v A rj i j i	659119	4564532	7
ee v A r k ee	455933	2284540	6
ee v A r s kj i j	751553	7574742	8
A v gj i j i f	476329	3292606	7
ee v gj I t	292744	1106392	5
ee v g U r	310417	1332146	5
A v g u s t	404082	2263296	6
ee v g u s tj E j sh i j	1157933	22395682	11
